strategy,public_label,trajectory_hash,ranking_eligible,period,total_kwh,peak_15min_kw,billed_demand_kw,energy_charge_usd,demand_charge_usd,total_usd,tariff_mode
frozen_ppo_flat_seed0,POLICY_CANDIDATE_FROZEN_PPO_FLAT,57e90464ebd45c400de292aa167945777dffce86360595a7a889a411b3671fde,True,2025-12,88522.3476,253.2298,253.2298,8605.86,3038.76,11644.62,ILLUSTRATIVE_TOU_PLUS_DEMAND
frozen_ppo_flat_seed0,POLICY_CANDIDATE_FROZEN_PPO_FLAT,57e90464ebd45c400de292aa167945777dffce86360595a7a889a411b3671fde,True,2026-01,96352.9019,272.9578,272.9578,9361.41,3275.49,12636.91,ILLUSTRATIVE_TOU_PLUS_DEMAND
frozen_ppo_flat_seed0,POLICY_CANDIDATE_FROZEN_PPO_FLAT,57e90464ebd45c400de292aa167945777dffce86360595a7a889a411b3671fde,True,two_month,184875.2496,272.9578,526.1876,17967.28,6314.25,24281.53,ILLUSTRATIVE_TOU_PLUS_DEMAND
frozen_dqn_tou_seed1,POLICY_CANDIDATE_FROZEN_DQN_TOU,8e0fd4b6b0d2c82439b70f81bdeeee4f4afa4e73b05fa25f73970ff156a350b5,True,2025-12,92165.9199,230.7848,230.7848,9034.12,2769.42,11803.54,ILLUSTRATIVE_TOU_PLUS_DEMAND
frozen_dqn_tou_seed1,POLICY_CANDIDATE_FROZEN_DQN_TOU,8e0fd4b6b0d2c82439b70f81bdeeee4f4afa4e73b05fa25f73970ff156a350b5,True,2026-01,99415.857,261.1953,261.1953,9702.77,3134.34,12837.12,ILLUSTRATIVE_TOU_PLUS_DEMAND
frozen_dqn_tou_seed1,POLICY_CANDIDATE_FROZEN_DQN_TOU,8e0fd4b6b0d2c82439b70f81bdeeee4f4afa4e73b05fa25f73970ff156a350b5,True,two_month,191581.7769,261.1953,491.9801,18736.89,5903.76,24640.66,ILLUSTRATIVE_TOU_PLUS_DEMAND
grid_flat_discrete_42,POLICY_CANDIDATE_GRID_FLAT_DISCRETE_42,10626863fdd676dd76a2d6ffe088d6c7608eec1527cf6e0b8363de993ee283ba,True,2025-12,87597.4797,242.7361,242.7361,8536.89,2912.83,11449.73,ILLUSTRATIVE_TOU_PLUS_DEMAND
grid_flat_discrete_42,POLICY_CANDIDATE_GRID_FLAT_DISCRETE_42,10626863fdd676dd76a2d6ffe088d6c7608eec1527cf6e0b8363de993ee283ba,True,2026-01,95404.8539,265.9219,265.9219,9288.81,3191.06,12479.87,ILLUSTRATIVE_TOU_PLUS_DEMAND
grid_flat_discrete_42,POLICY_CANDIDATE_GRID_FLAT_DISCRETE_42,10626863fdd676dd76a2d6ffe088d6c7608eec1527cf6e0b8363de993ee283ba,True,two_month,183002.3336,265.9219,508.658,17825.7,6103.9,23929.6,ILLUSTRATIVE_TOU_PLUS_DEMAND
grid_tou_discrete_43,POLICY_CANDIDATE_GRID_TOU_DISCRETE_43,8b49926ad2106845612bdcfd9be2f58ec33234fe364e3d97850cd19039452ab9,True,2025-12,87988.5579,242.7046,242.7046,8539.15,2912.46,11451.6,ILLUSTRATIVE_TOU_PLUS_DEMAND
grid_tou_discrete_43,POLICY_CANDIDATE_GRID_TOU_DISCRETE_43,8b49926ad2106845612bdcfd9be2f58ec33234fe364e3d97850cd19039452ab9,True,2026-01,95895.7727,265.4566,265.4566,9293.56,3185.48,12479.04,ILLUSTRATIVE_TOU_PLUS_DEMAND
grid_tou_discrete_43,POLICY_CANDIDATE_GRID_TOU_DISCRETE_43,8b49926ad2106845612bdcfd9be2f58ec33234fe364e3d97850cd19039452ab9,True,two_month,183884.3305,265.4566,508.1612,17832.71,6097.93,23930.65,ILLUSTRATIVE_TOU_PLUS_DEMAND
