tariff_mode,candidate_id,action_index,total_cost,energy_cost,incremental_demand_cost,peak_kw_max,daily_kwh_sum,eligible,ready_checked_school_days,checked_school_days,unoccupied_heating_f,recovery_lead_minutes,post_occupancy_extension_minutes,setback_offset_f,continuous_conditioning
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_26,26,6987.435828,4219.673624,2767.762203,230.64685,43229.917262,True,5,5,60.0,120,0,-1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_27,27,6975.62446,4220.759505,2754.864955,229.57208,43372.65226,True,5,5,60.0,120,60,-1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_28,28,6992.58046,4250.022792,2742.557668,228.546472,43537.974517,True,5,5,60.0,120,120,-1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_29,29,7011.28348,4282.73761,2728.54587,227.378822,43697.724568,True,5,5,60.0,120,180,-1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_30,30,6965.935219,4245.85171,2720.083509,226.673626,43448.105035,True,5,5,60.0,120,0,0.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_31,31,6955.92933,4247.190997,2708.738333,225.728194,43580.806753,True,5,5,60.0,120,60,0.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_32,32,6970.617488,4273.295703,2697.321785,224.776815,43726.411223,True,5,5,60.0,120,120,0.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_33,33,6986.83549,4302.209239,2684.626251,223.718854,43867.601889,True,5,5,60.0,120,180,0.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_34,34,7023.428179,4350.69997,2672.728209,222.727351,44442.216694,True,5,5,60.0,120,0,1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_35,35,7013.734962,4351.152388,2662.582573,221.881881,44558.872057,True,5,5,60.0,120,60,1.0,False
ILLUSTRATIVE_TOU_PLUS_DEMAND,discrete_36,36,7026.936267,4374.748021,2652.188246,221.015687,44690.543989,True,5,5,60.0,120,120,1.0,False
