day,panel,arm,step,mean_heating_f,zone_spread_f,school_start,school_end,recovery_begin_step,post_occupancy_extension_minutes
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,48,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,49,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,50,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,51,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,52,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,53,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,54,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,55,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,56,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,57,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,58,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,59,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,60,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,61,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,62,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,63,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,64,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,65,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,66,70.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,67,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,68,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,69,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,70,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,71,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,72,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,73,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,74,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,75,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,76,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,77,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,78,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,79,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,80,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,81,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,82,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,83,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,84,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,85,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,86,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,87,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,88,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,89,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,90,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,91,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,92,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,93,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,94,65.0,5.0,30,59,22,120
2025-12-15,SECONDARY validation leader,trained_dqn_seed1,95,65.0,5.0,30,59,22,120
